aaab 昌明
kokog 狗走狐淫
kokqn 大吹大打
kokqw 大吹大擂
kokr 大使馆
kokrh 左顾右盼
kokrn 奇人奇事
kokrq 左提右挈
kokt 大侠
kolbr 贺帖
kolgs 大家闺秀
kolll 软片
kolrk 癞蛤蟆
kolsj 轶闻
kolwu 贺电
kolyk 癞虾蟆
komb 大儒
komc 大兵
komfk 犹豫不决
komfk 狐疑不决
komfr 杀人灭口
komfv 狼狈不堪
komg 大全
komgi 软玉
komhi 加人一等
komi 大会
komk 大便
komm 大体上
komn 大气
komov 杀人不眨眼
komrk 软硬
komrr 奇货可居
komrr 大费唇舌
komut 杀人不见血
komwg 东张西望
kond 癞子
konfo 贺尔蒙
koni 大气层
koni 大气压
konmm 软弱
konms 加足马力
kontn 杀人盈野
koodm 软体
koohq 软件
kooik 贺仪
kooiw 大众传播
koomg 奢入俭难
koomu 有失体统
koond 软钉子
kooo 大众
kooob 东欧铁幕
koop 软化
koop 大众化
kooq 贺年
kooql 贺年片
kooqy 贺年卡
koos 大作
koou 狐仙
kopb 大锅
kopbh 软心肠
kopbj 痛入心脾
koph 大钞
kophm 软性
kopko 狐疑
koplu 贺忱
kopot 东家长西家短
koq 大年
koqei 独家报导
koqk 大年夜
koqmv 贺表
koqvs 大队接力
kora 大合唱
kork 大俗卖
koro 病从口入
korru 病从口入祸从口出
korso 软颚
koso 大作家
kostg 奇人异士
kotkh 痛失英才
kotmd 存以甘棠
kou 大仙
koune 贺函
kouni 贺岁
kovau 狐媚
kovbb 软绵绵
kovdl 大众媒介
kovmr 独资经营
kovrc 杀人如麻
kowpb 痛定思痛
koybb 病入膏肓
koyce 大张旗鼓
koyhq 狐步舞
koyin 大众运输
koykp 大众文化
koymy 贺卡
koyrb 软膏
kpbir 轮胎
kpdbh 灰心槁形
kpdhn 轮机
kpdkr 轮椅
kpdno 轮机长
kpeie 轮渡
kpeyu 轮流
kpgdv 有感地震
kpgvn 灰心丧气
kphdl 轮种
kphdw 轮番
kphmj 轮生叶
kphnl 大意失荆州
kphyr 轮船
kphyt 轮盘
kpiog 有志之士
kpite 态度
kpivb 轮调
kpivk 疵议
kpiyl 轮廓
kpjru 爽心豁目
kpjss 雄心勃勃
kpjus 有志者事竟成
kpkbp 有心有意
kpkbu 痛心病首
kpkdc 杂七杂八
kpkku 疚心疾首
kpkku 痛心疾首
kpklp 大慈大悲
kpkqi 轮转
kpkqs 辘轳
kpkqw 轮轴
kpkrb 狼心狗肺
kpkrd 轮架
kpkrn 狗心狗行
kpkrn 狼心狗行
kpkrp 左思右想
kpktc 夹七夹八
kplgp 雄心壮志
kplmk 轮状
kpmbe 有感而发
kpmbr 有志一同
kpmfb 狗屁不通
kpmfq 大惑不解
kpmfr 狗彘不如
kpmfr 狗彘不若
kpmfv 存心不良
kpmfv 疲惫不堪
kpmgg 轮班
kpmgn 轮到
kpmhm 九死一生
kpmiu 有此一说
kpmmm 瘪三
kpmoa 有意无意之间
kpmqb 有志不在年高
kpmr 大悟
kpmsk 雄心万丈
kpnd 轮子
kpnip 狐死兔悲
kpnit 狐死兔泣
kpobb 痛心入骨
kpod 轮休
kpojm 轮值
kponk 大乘佛教
kpoos 轮作
kpphb 痛心切骨
kpqis 态势
kpqnk 轮换
kpqoa 轮替
kpraa 轮唱
kprow 狗急跳墙
kpsrd 瘾君子
kpsrn 存心叵测
kpstj 奇花异草
kpstt 奇花异卉
kptjg 轮鞋
kptum 狐死首丘
kptwj 奄宅曲阜
kpuu 大屯山
kpvmc 大乘经典
kpvmj 轮奸
kpvrn 疾恶如仇
kpwfu 轮圈
kpwr 轮回
kpyiu 轮充
kpyus 有志竟成
kpyvp 痴心妄想
kqak 大拍卖
kqbir 车胎
kqdbb 车棚
kqde 大静脉
kqdhe 车皮
kqduk 痛痒相关
kqe 车水
kqehn 牵涉到
kqeyh 牵涉
kqeyu 车流
kqfbq 车掌
kqfmn 车灯
kqgah 车声
kqgis 车城
kqgnh 车场
kqgou 牵起
kqhao 轻车简从
kqhbn 牵制
kqhdg 车程
kqhdl 车种
kqhdu 车箱
kqhm 大抵
kqhon 车行
kqhqp 牵牛花
kqhss 车房
kqhu 大手笔
kqhvf 牵系
kqhxh 车身
kqhyr 车船
kqid 车床
kqifb 车祸
kqihm 车底
kqikq 车库
kqim 大专生
kqiog 车座
kqioo 车资
kqis 大势
kqjcw 车窗
kqjig 瘦羊博士
kqjo 大捷
kqki 大寿
kqko 加拿大人
kqkol 癣疥
kqkpi 车轮战
kqkqb 车辆
kqkqp 车轮
kqkqw 车轴
kqkrm 车驾
kqkru 狐群狗党
kqkru 左拥右抱
kqlhm 大年初一
kqlis 车门
kqllj 车牌
kqlno 车费
kqlsa 车间
kqm 车工
kqm 车厂
kqmd 大扫除
kqmdu 车厢
kqme 大麦
kqmhu 九牛一毛
kqmis 牵动
kqmiu 大军压境
kqmmu 九牛二虎
kqmno 车顶
kqmos 九牛二虎之力
kqmwf 车票
kqmwo 东鳞西爪
kqmyu 九牛一毫
kqnd 车子
kqni 大专
kqnl 牵引
kqnln 牵引机
kqnlo 车队
kqnmo 车马费
kqnri 牵强
kqnvm 车马
kqnyh 左建外易
kqo 大夫
kqodm 车体
kqomr 牵合
kqon 大提琴
kqooe 大举入侵
kqopj 车钱
kqoqx 有氧舞蹈
kqoyt 车位
kqpa 大指
kqpo 车长
kqpp 大批
kqq 牵手
kqqau 车把
kqqgg 牵挂
kqqig 车垫
kqqju 大肆抨击
kqqo 车夫
kqqud 狗拿耗子
kqqym 牵扯
kqrud 大肆咆哮
kqtbn 车前
kqtgt 车盖
kqtjb 车带
kqtnn 车前灯
kquk 大规模
kqvcv 牵牛织女
kqvmj 车缝
kqvmj 牵线
kqvmq 牵绊
kqwij 鸠摩罗什
kqwlr 牵罟
kqwvf 牵累
kqya 大拇指
kqyb 大搞
kqydl 车速
kqyfu 牵就
kqyg 车主
kqyis 有氧运动
kqyjg 车载斗量
kqyk 车头
kqykq 牵连
kqym 车上
kqyqo 瘠牛羸豚
kqyqu 牵连犯
kqytr 车站
kqytu 车道
kqyv 牵亡
kqyvq 牵亡阵
kqyvs 轻举妄动
kr 大口
krabt 加盟
kranu 加冕
kratr 加盟店
kraus 大器晚成
krayf 奇景
krbgl 右脚
krbmi 加冠
krbnn 大名鼎鼎
krbu 大嘴巴
krbvd 狗腿子
krbyv 狗腿
krbyv 右腿
krde 加权
krdfk 刳胎焚夭
krdh 狗才
krdh 奇才
krduj 狭路相逢
krdup 痴想
krdup 奇想
krebd 加深
krebu 奇观
kregi 加法
kregr 有口难言
krehv 右派
krehv 加派
kreir 辖治
krelw 加油
kremp 加添
kretb 加满
krewr 加油站
kreyg 加注
krfdj 加料
krfqh 右券
krfvk 奇数
krfvk 加数
krgbu 灰容土貌
krgoe 奇趣
krgpd 辖地
krgut 加起来
krgyu 辖境
krhjg 加重
krhoh 转口贸易
krhpd 加减乘除
krhpl 加印
krhqi 奇特
krifb 奇祸
krifu 有苦说不出
krihs 加成
kriig 左右为难
krill 加州
krimr 加减
kriot 狗盗
kripf 狗熊
kripv 奇袭
krir 大喊
kriva 加诸
krivd 奇谋
krivf 奇谈
krivj 奇计
krjcb 狗窝
krjck 狗窦
krjhr 轻诺寡信
krjln 奇事
krjqr 加害
krjrg 希奇古怪
krk 加大
krkbj 有始有卒
krkbm 有名有姓
krkby 有始有终
krkgu 有言在先
krkhn 大吉大利
krkku 疢如疾首
krkor 痴痴
krkqi 右转
krkrl 大喊大叫
krkt 大跃进
krktq 奇痒
krlef 加紧
krlgv 加装
krlis 奇门
krlmb 癞蛤蟆想吃天鹅肉
krlsj 奇闻
krlyq 狗辈
krm 加工
krmai 加官晋爵
krmbb 奇丽
krmbg 左右两难
krmfh 大可不必
krmfl 大言不惭
krmfr 有何不可
krmgg 加班
krmgi 加压
krmks 奇功
krmm 加工厂
krmms 奇巧
krmo 大跌
krmr 大路
krmrm 加码
krmrr 加工品
krms 大号
krmsk 加工区
krmsq 力倍功半
krmsu 疾言厉色
krmtc 加工业
krmtn 左右开弓
krmuk 有名无实
krmup 有口无心
krmuy 有始无终
krmwl 右面
krmwu 有何面目
krmy 右下
krnd 痞子
krnin 加多
krnmm 奇验
krnri 加强
krnsk 有容乃大
krnts 贺客盈门
kro 加入
kro 痴人
kro 奇人
krobn 右侧
krobo 狗肉
kroiv 狗食
krojm 加值
kromc 奇兵
kroml 狗命
kromu 加值税
kroni 太阿倒持
krop 加仑
kropo 右倾
kroqk 加拿大
kroqs 奇伟
kroru 疾言倨色
krowb 奇偶
kroyr 加倍
krp 痴心
krpaj 有口皆碑
krpdk 加快
krpeg 奇怪
krpgg 奇奇怪怪
krpo 加长
krpqb 痴情
krq 右手
krqfq 右手掌
krqif 奇热
krqif 加热
krqis 加护
krqje 奇技
krqud 狗追耗子
krqus 加把劲
krrd 痴呆
krrdm 痴呆症
krrik 狗吠
krrk 大哭
krrms 加号
krrr 大器
krsfd 狗屎
krsjb 右臂
krsk 辖区
krsmc 右翼
krsn 大别
krspp 狗屁
krsrn 加剧
krstd 奇异果
krsut 奇异
krtbd 加菜
krtch 独善其身
krtdc 加菜金
krtdt 奇莱
krtgt 加盖
krthu 奇葩
krtmd 鸠占鹊巢
krttu 奇莱山
krtyl 加薪
krumr 奇岩
krvfh 奇妙
krvio 加以
krvis 奇幻
krvlk 加收
krvmo 奇缘
krvmr 加给
krvpu 疾言怒色
krwmi 加国
krwsd 奇男子
krydl 加速
kryfd 痴迷
kryhs 右方
kryig 大喜过望
kryjf 左右逢原
kryjf 左右逢源
kryk 狗头
krykk 奇效
kryks 右边
kryle 加速度
krylr 加速器
krym 右上
krym 加上
kryou 疾言遽色
kryrb 加高
kryrr 在官言官
kryuo 狼吞虎噬
kryuv 狼吞虎餐
kryuw 狼吞虎咽
krywb 奇遇
ksamg 力量
ksbjf 大动肝火
ksce 大殿
kseks 力劝
ksfbd 力学
ksfug 夸耀
ksg 力士
ksgeo 大力鼓吹
ksh 大刀
kshis 大书特书
kshlm 大势所趋
kshnp 有伤风化
kshoe 力役
kshon 力行
kshqi 夸特
kshrs 大功告成
kshuo 夸赞
ksiea 东方发白
ksije 力求
ksioo 大方之家
ksiq 大肆
ksjd 大耳朵
ksk 夸大
kskbs 加护病房
kskes 疲劳轰炸
kskmb 痨病
kslgb 雄伟壮丽
ksll 大臣
kslnk 夸奖
kslp 大考中心
ksmai 轰动一时
ksmbu 夺门而出
ksmbu 夺眶而出
ksmks 夸功
ksmmf 夸示
ksmud 有勇无谋
ksnpo 夸张
ksnsd 力争
ksnvb 夸饰
ksojo 大户人家
ksomn 力气
ksors 有勇知方
kspkq 东方快车
ksppy 加勒比海
ksqbv 大力帮忙
ksqgd 大力推荐
ksqit 力拚
ksqog 力挫
ksr 夸口
ksrpw 大韩民国
kssci 有亏职守
kssjb 力臂
kssoy 力尽
kssr 大局
kssui 大势已去
kstkd 力荐
kstru 大巧若拙
kstv 大展
ksuus 有力出力
ksvpb 力透纸背
kswhy 力图
ksydb 奇幻迷离
ksyie 疲劳过度
ksyri 力战
ksyul 奇门遁甲
ktbc 大典
ktbd 大菜
ktbfm 奔腾
ktbkf 猛然
ktbvl 大开眼界
ktc 大业
ktcor 狭谷
ktcwr 猛兽
ktdhe 夹板
ktede 奔波
ktedk 狗血淋头
ktegs 夹注号
ktelo 奔溃
kteyg 夹注
kteyu 奔流
ktf 猛火
ktf 狭小
ktfbl 独立精神
ktfdu 独立学院
ktfhu 猛省
ktg 猛士
ktgcv 奔丧
ktgoy 奔赴
ktgut 夹起来
ktgyo 奔走
kthbr 奔向
kthdc 疳积
kthdo 夹竹桃
kthqm 夹生
kthsk 猛戾
kthvn 狼奔鼠偷
ktik 狭义
ktioh 希世之珍
ktipv 猛袭
ktjcl 奔窜
ktjcs 狭窄
ktjmr 独立宣言
ktjru 夹克
ktk 大关
ktkbb 有血有肉
ktkbg 有来有往
ktkbu 有血有泪
ktkig 独来独往
ktknd 夹杂
ktkou 痘疮
ktkul 尴尬
ktljy 狼猛蜂毒
ktlmi 猛将
ktlmp 奔北
ktlu 大节目
ktmbw 奔雷
ktmdp 有监于此
ktmf 大蒜
ktmnf 猛烈
ktmok 猛攻
ktmok 夹攻
ktmok 狼奔豕突
ktmwk 东拼西凑
ktmwm 东拉西扯
ktmwo 东奔西跳
ktmwo 东奔西走
ktmwu 东奔西跑
ktnbg 夹角
ktnbs 猛勇
ktnd 痘子
ktnd 夹子
ktnk 大前天
ktnlt 狭隘
ktnmd 奔驰
ktno 大前提
ktnq 大前年
kto 夹入
ktoml 奔命
ktoyb 猛禽
ktoyg 夹住
ktp 夹心
ktpkm 狭心症
ktpm 大花脸
ktpo 狭长
ktpyv 奔忙
ktqha 猛拍
ktqog 猛推
ktqu 夹击
ktqu 猛击
ktqyg 猛撞
ktrmr 狭路
ktrmu 奔跑
ktron 猛吃
ktsig 夹层屋
ktsl 大节
ktsmi 夹层
kttce 大异其趣
kttjb 夹带
kttw 痘苗
ktvmj 夹缝
ktwl 盔甲
ktyhr 猛追
ktyhv 夹衣
ktyk 夹头
ktylo 奔逃
ktymo 奔逐
ktypu 猛虎
ktysk 奔放
ktytt 猛进
ktytu 夹道
ktyu 大荒
kubkf 犹然
kubl 癌肿
kubvw 大饱眼福
kuddf 犯禁
kudub 有无相通
kuedu 猛虎深山
kuegi 犯法
kuei 轧戏
kueog 犯难
kueol 夹道欢迎
kuepc 猛虎添翼
kug 犯土
kugds 大陆地区
kuhbu 犹自
kuhdj 犯科
kuhgw 杀出重围
kuhnk 大出风头
kuihr 车厢广告
kuiiv 转危为安
kuiot 在色之戒
kuiov 狐虎之威
kuit 犯戒
kuivs 犯讳
kujvd 犯案
kuk 犹大
kukau 疮疤
kukav 疤痕
kukbk 有说有笑
kukbp 疾首痛心
kukgw 力挽狂澜
kuki 犹太
kukik 犹太教
kukio 犹太人
kukkn 疮痍
kukks 奋笔疾书
kuklu 奄奄
kukmb 犯病
kukmm 癌症
kukoi 布道大会
kukqi 大摇大摆
kukqu 轧轧
kuktr 大起大落
kulpj 太山北斗
kumbu 东山再起
kumfj 轧平
kumfm 犯不上
kumfo 斩首示众
kumfu 犯不着
kumfu 大逆不道
kumhp 奄奄一息
kummk 九流三教
kumnp 轧死
kumnr 犹可
kumuj 杂乱无章
kumy 犯下
kund 犹子
kunno 犹豫
kuo 犯人
kuo 轧入
kuoak 犯错误
kuodl 犹他州
kuohl 有色人种
kuojk 大出锋头
kuomn 疝气
kuopa 犯错
kuopb 轧钢
kuopd 犹他
kupko 犯疑
kupko 犹疑
kuqou 犯规
kuqxm 猛虎插翅
kur 疮口
kuriw 大饱口福
kusps 犯忌讳
kusup 犯忌
kutca 有目共睹
kutkr 犹若
kutr 大峡谷
kuut 大出血
kuvmu 犯纪
kuvr 犹如
kuwbl 大无畏精神
kuwly 犯罪
kuyho 犯颜
kuyki 轧头寸
kuym 犯上
kuymg 大相迳庭
kuytp 犯意
kuyvs 狩岳巡方
kvbfv 大眼瞪小眼
kvbm 大姐
kvboj 猥贱
kvbrp 猫鼠同眠
kvcir 有限公司
kvehv 袈裟
kvemw 大展鸿图
kvfd 辗米
kvfdm 辗米厂
kvfmi 大宴小酌
kvfwk 狼烟
kvghl 力竭声嘶
kvhds 大展魅力
kvhe 大嫂
kvhhq 大展身手
kvhlu 布衣卿相
kvhm 大姓
kvhni 猥亵行为
kvhqa 狼籍
kvhsk 狠戾
kvihj 狐裘尨茸
kvihs 辗成
kvik 狼犬
kviok 布衣之交
kviv 大娘
kvjiw 大展宏图
kvkbm 有根有底
kvkbw 有根有苗
kvkhk 猿猴
kvkho 狼狈
kvkhr 狼狗
kvkhv 狠狠
kvkom 套装软体
kvkou 狼疮
kvkqi 辗转
kvkrl 大嚷大叫
kvlh 大姊
kvlis 辕门
kvmb 大纲
kvmeu 有眼不识泰山
kvmfj 辗平
kvmgo 猥琐
kvmhq 狼牙棒
kvmi 大约
kvmkb 独裁政策
kvmm 大红
kvmud 有眼无珠
kvmur 狂妄无知
kvnd 大好
kvnd 大姨子
kvnm 大妈
kvo 猿人
kvo 狼人
kvoio 狼贪
kvoml 狠命
kvota 狼借
kvp 狠心
kvppp 辗毙
kvqmy 狠毒
kvqog 有限责任
kvrv 大姑娘
kvsjb 猿臂
kvste 奇装异服
kvtfw 狐裘羔袖
kvtoj 狐裘蒙戎
kvtoj 狐裘蒙茸
kvtqa 狼藉
kvydi 辗过
kvyqv 猥亵
kvyru 狼毫
kvyuo 狼餐虎噬
kvyuv 狼餐虎食
kvyvd 套装旅游
kvyyc 痕迹
kwbbm 有福同享有难同当
kwbrd 有福同享
kwbvr 猫眼石
kwc 猫儿
kwefm 轻描淡写
kwehk 奋激
kwepa 加油添醋
kwg 大里
kwgou 奋起
kwgp 奋志
kwhhi 辐射
kwhif 辐射热
kwhig 辐射尘
kwhij 辐射线
kwhim 辐射性
kwhip 辐射能
kwhjg 辎重
kwhlk 猫鼻头
kwhr 大略
kwhw 大团圆
kwimk 辐凑
kwipf 猫熊
kwive 奋发
kwjbp 东西南北
kwjne 东窗事发
kwkbp 病国病民
kwklo 大富大贵
kwkok 痼疾
kwkqk 辐辏
kwkra 加油加醋
kwks 奋力
kwl 大甲
kwlc 大甲镇
kwlk 大甲溪
kwmbt 有备而来
kwmg 猫王
kwmgj 疾雷不及塞耳
kwmi 大国
kwmu 大园
kwmuj 疾雷不及掩耳
kwmuj 疾雷不暇掩耳
kwmup 有备无患
kwnbs 奋勇
kwno 奋飞
kwp 轴心
kwpwi 轴心国
kwqu 奋击
kwrfd 猫咪
kwrvl 猫叫
kwsjb 奋臂
kwvmj 轴线
kwyj 奋斗
kwykm 猫头鹰
kwymq 轮番上阵
kwyri 奋战
kwytt 奋进
kybbe 疼爱
kyced 架海金梁
kydi 大过
kyev 大餐
kyeyr 夸下海口
kyfe 大叔
kyhbt 瘀血
kyhni 犯罪行为
kyhs 大方
kyhse 力尽筋疲
kyhu 大选
kyhv 大衣
kyk 大头
kykd 大头菜
kykf 大头照
kykfd 东海大学
kykg 大夜班
kykj 大头针
kyknb 疼痛
kykq 大连
kylh 大部分
kylmb 癞虾蟆想吃天鹅肉
kymr 大言
kymy 大卡
kynb 大通
kynd 痱子
kyndh 痱子粉
kyook 独排众议
kyook 力排众议
kyoos 瘀伤
kypgd 犯罪心理学
kypop 大排长龙
kypta 疼惜
kyqak 大拇指头
kyqn 大连湾
kyqsj 大海捞针
kyri 大战
kyrl 大部
kyrn 大亨
kytny 痛悔前非
kytp 大意
kytu 大道
kytu 大逆
kytuq 大处着眼小处着手
kytuv 大处着眼
kyug 大道理
kyus 大选区
la 中日
laa 旧日
laadi 旧时
laadi 临时
laaii 临时会
laaim 临时工
laaof 间歇热
laaom 间歇性
laavo 间歇
lab 临月
labno 紧迫盯人
labum 临睡
lacst 临盆
lacu 旧金山
ladhe 蜡板
ladj 临末
ladom 临检
ladoy 蜡梅
laebk 临溪
laebu 旧观
laegi 旧法
laehl 临沂
laell 临渊
laelw 蜡油
laem 临江
laend 蜡染
laeog 临难
laepd 临池
laeyd 旧游
lafdf 帕米尔
lafli 蜡烛
lafss 蜡炬
lagi 临去
lagnh 临场
lagpd 旧地
lagym 旧址
lagyo 临走
lahbn 旧制
lahdf 旧称
lahhu 蜡笔
lahnk 临风
lahon 临行
laid 临床
laids 旧书
laipm 旧式
lairm 间或
laisg 旧书摊
laivd 间谍
laja 中暑
lajal 旧都
lajdk 旧教
lajjb 临朝
lajln 旧事
lajv 临安
lajvd 旧案
lake 旧友
laknd 间杂
laknu 旧大陆
lalbo 旧帐
lalbr 临帖
lalis 临门
lalsj 旧闻
lambf 由简而繁
lamcp 旧恶
lamfh 帷箔不修
lamgn 临到
lamks 旧历
lamlb 旧雨
lamnp 临死
lamsq 旧历年
land 褶子
lanlb 间隔
lanlf 间隙
lanlq 临阵
lanmu 临危
lann 临了
lao 旧人
lao 蜡人
laocr 旧俗
laomg 由奢入俭难
laono 蜡像
laono 紧迫钉人
laoog 旧货摊
laoor 蜡像馆
laoos 旧作
laoq 旧年
laoqo 旧债
laoun 旧创
lapav 旧恨
lapqb 旧情
laqeb 背暗投明
laqjl 旧邦
laqkk 间奏
laqkw 间奏曲
laqvu 间接税
laqyv 间接
larsn 临别
laryb 蜡嘴
lashb 旧属
lasjr 旧居
lataq 临摹
latc 旧业
latcb 临期
latw 褶曲
launi 旧岁
lavdl 间断
lavmi 旧约
lavmp 蜡纸
lavmy 临终
lavnd 旧好
lawlf 临界点
lawol 临界
lawpp 旧思想
layck 旧交
layhl 临近
layhv 旧衣
layk 临头
laylb 旧市
layrl 旧部
laytu 间道
layua 将错就错
layup 旧道德
layve 旧衣服
lbafh 背影
lbaib 非常时期
lbayf 背景
lbbfm 闹腾
lbbgb 肾脏病
lbbgd 闹肚子
lbbig 肾脏
lbbjn 闹脾气
lbck 师父
lbckl 师爷
lbcnh 师弟
lbcou 悲痛欲绝
lbdh 中彩
lbegi 师法
lbeib 背对背
lbeij 褊浅
lbemw 闹酒
lbenq 背水阵
lbfbb 背脊骨
lbfcb 背脊
lbfcc 闹烘烘
lbff 肾炎
lbfhr 肾小管
lbfiu 中篇小说
lbfme 肾小球
lbfmq 螳臂当车
lbfmr 非同小可
lbfqe 背叛
lbfqu 中南半岛
lbgdg 背地里
lbgnh 闹场
lbgou 背起
lbgpd 背地
lbgut 归纳起来
lbhgj 旧调重弹
lbhkr 闹笑话
lbhmd 蚌病生珠
lbhmr 背后
lbhnb 闹风潮
lbhoo 师徒
lbhq 蜗牛
lbhqm 师生
lbhss 闹房
lbhui 闹鬼
lbhwm 闹翻
lbids 背书
lbioo 师资
lbiou 中庸之道
lbisd 蚌病成珠
lbivb 背诵
lbjk 师丈
lbjln 闹事
lbjln 师事
lbjr 师古
lbk 师大
lbke 师友
lbkht 褊狭
lbkmb 闹病
lbkmb 肾病
lblbw 巾帼
lbldm 蝴蝶兰
lbldr 蝴蝶结
lbldv 蝴蝶装
lblid 蝴蝶
lblig 蜻蜓
lblis 师门
lbliw 蝙蝠
lblmi 蠕虫
lblwb 蝙蝠洞
lbmbu 蜂涌而出
lbmfh 帷幕不修
lbmfs 背不动
lbmi 中县
lbmis 蠕动
lbmms 肾亏
lbmrr 帅哥
lbmum 畅通无阻
lbmwl 背面
lbnbg 蜗角
lbnlu 师院
lbnmd 背驰
lbnmp 褊急
lbnno 师承
lbo 背人
lboii 师傅
lbopl 闹钟
lboyr 背信
lbp 背心
lbpba 闹情绪
lbpo 师长
lbpru 背包
lbq 中用
lbqif 闹热
lbqmv 师表
lbqni 师专
lbrcc 闹哄哄
lbrhu 师兄
lbrjm 闹喧
lbrng 闹别扭
lbruh 师兄弟
lbsjr 蜗居
lbsk 闹区
lbsrn 闹剧
lbtcu 闭幕典礼
lbteu 师范
lbtgp 闭月羞花
lbtjb 背带
lbtjl 闹革命
lbtkf 裙带关系
lbtwi 师尊
lbuu 闹出
lbvbb 旧情绵绵
lbvbm 师姐
lbvjd 师妹
lbvjr 师姑
lbvmi 背约
lbvrr 肾结石
lbwdh 师团
lbwkp 师恩
lbwyi 师母
lbyhv 衲衣
lbyik 闲情逸致
lbyit 背弃
lbyk 中脑
lbylb 闹市
lbylr 旧雨新知
lbyme 肾上腺
lbymi 背运
lbymy 非常上诉
lbypc 闹虚
lbypc 肾虚
lbypu 闹意见
lbyrl 背部
lbysv 师旅
lbytu 背道
lbytu 师道
lbyub 背离
lcdyo 鉴核
lcfbo 鉴赏
lchuf 顺其自然
lcije 冀求
lcjbf 鉴察
lcjmo 鉴定
lckfd 中兴大学
lcktc 中兴大业
lclid 螟蛉子
lclii 螟蛾
lclii 螟蛉
lcmd 鉴于
lcnii 虾兵蟹将
lcuen 旧金山湾
lcuyb 旧金山市
lcybg 冀望
lcyli 中兴新村
ldadi 闲时
ldarf 裸照
ldbkk 蛛网
ldbpu 裸胸
lddmh 裸子植物
lddmh 被子植物
lddsd 蟠木朽株
lddt 闲来
ldeyd 闲游
ldfbb 闲常
ldfdk 蝶类
ldgds 中东地区
ldgpd 闲地
ldhgd 旧地重游
ldhxh 裸身
ldids 闲书
ldioo 中途之家
ldipm 蝶式
lditn 电子计算机
ldivf 闲谈
ldivr 闲话
ldjcm 闲空
ldjct 蚍蜉戴盆
ldjct 蜱蜉戴盆
ldjdc 电子字典
ldjkm 临床实验
ldjln 闲事
ldjps 忠厚老成
ldjrr 闲官
ldkjt 裸奔
ldlbp 蛛游蜩化
ldldb 蜂迷蝶猜
ldldk 蜂媒蝶使
ldldq 蜂游蝶舞
ldlid 蜉蝣
ldlif 蝾螈
ldllh 电子邮递
ldlrg 裸裎
ldmbg 忠孝两全
ldmbg 忠孝不能两全
ldmbr 裸露
ldmfg 闲不住
ldmhg 电子工程
ldmqo 闲工夫
ldmth 蝶形
ldnbf 帕米尔高原
ldnlf 闲隙
ldnmo 被保险人
ldo 闲人
ldodm 裸体
ldohi 闲杂人等
ldomn 闲气
ldomu 裸体画
ldoog 闲坐
ldopj 闲钱
ldpqb 闲情
ldqbd 闲静
ldqkd 蚍蜉撼大木
ldqme 裸麦
ldqpi 蚍蜉撼树
ldqsw 被保护国
ldqym 闲扯
ldsei 临深履薄
ldsjl 闲聊
ldsk 中枢
ldtbk 闲散
ldtcr 闪烁其词
ldteh 闲荡
ldvmm 临床经验
ldvvm 蛛丝
ldvwy 褓姆
ldwio 忠于国家
ldwlm 闲置
ldwyi 褓母
ldyhr 闲适
ldyhv 蝶衣
ldyk 牒文
ldyk 中校
ldykg 闲逛
ldylh 闲步
ldyme 监于止水
lebem 被服厂
lebse 被服
lecwj 被单
lede 版权
ledei 版权法
ledeo 版权页
ledm 版本
ledtk 版模
leej 浆汁
lefdb 浆糊
lefhq 裙屐少年
lehdu 版税
lehgr 被告
lehlb 版权所有
lehmn 版筑
lehnr 顺水行船
lehpk 被乘数
lehqa 版籍
lehrb 被告席
leids 隶书
leirk 被减数
leive 被发
lejcb 被窝
lejqr 被害
lejro 被害人
lejvr 衽扱囊括
lekd 被杀
lekmg 被发左衽
lekrk 被加数
leksi 被套
lelfd 初级中学
lelmi 被褥
lelmk 浆状
lelpn 蛾度蛇行
lelw 中油
lemfk 坚毅不拔
lemis 被动
lemuo 虹吸现象
lemuw 版画
lemwl 版面
lemyi 背水一战
lend 被子
lendk 被除数
lenfm 北爱尔兰
leobd 被俘
leopb 顺水人情
leqgy 顺水推舟
lesbd 隶属于
leshb 隶属
lewd 浆果
lewhy 版图
lewl 被甲
leyd 中游
leyha 被迫
leym 被上
leyu 中流
leyuo 被选人
lf 中小
lfbd 中学
lfbi 中常会
lfbo 螺贝
lfbor 紧贴
lfbv 中常委
lfcq 中举
lfddh 门禁森严
lfdm 中学生
lfdog 螺栓
lferr 电热水器
lffd 中小学
lffsm 北京烤鸭
lfguk 肃然起敬
lfhhv 紧身衣
lfhsn 紧箍咒
lfhum 悲不自胜
lfhvo 监察委员
lfhwm 壮烈牺牲
lfhxh 紧身
lfimk 紧凑
lfisj 斐然成章
lfism 壮烈成仁
lfite 襟度
lfivu 紧记
lfjpu 紧密
lfjre 间不容发
lfjrp 间不容息
lfkfd 北京大学
lflef 紧紧
lflsh 紧闭
lfmc 中兴
lfmwv 紧要
lfnah 蛇杯弓影
lfnls 紧防
lfnmp 紧急
lfnpo 紧张
lfnuo 监察院长
lfoil 紧邻
lfomc 中小企业
lfopn 螺钉
lforo 紧促
lfpmf 襟怀
lfqik 紧挨
lfqsg 紧握
lfqvu 紧接着
lfqyv 紧接
lfrhu 襟兄
lfrmv 紧跟
lfshr 螺髻
lfvma 紧缩
lfvmb 紧绷
lfvmh 螺丝刀
lfvmi 紧缚
lfvmj 螺线
lfvmk 螺纹
lfvmn 螺丝钉
